,american_indian_alaska_native,pct,asian,pct,black,pct,hispanic,pct,native_hawaiian_pacific_islander,pct,white,pct,multiple_races,pct
Age group (yrs),,,,,,,,,,,,,,
<13,0,0,14,0.3,67,0.1,26,<0.1,0,0,13,<0.1,4,0.2
13–14,1,0.1,4,0.1,26,<0.1,7,<0.1,0,0,6,<0.1,2,0.1
15–19,1,0.1,17,0.3,248,0.2,177,0.2,1,0.2,50,0.1,8,0.3
20–24,25,2.5,113,2.2,"3,541",3.2,"2,273",2.7,11,2.3,919,1.1,83,3.5
25–29,89,9,407,8,"9,953",9.1,"6,895",8,43,8.8,"3,347",4,247,10.3
30–34,109,11,665,13.1,"15,476",14.2,"11,057",12.9,55,11.3,"6,298",7.5,354,14.8
35–39,90,9.1,684,13.4,"12,930",11.8,"11,088",12.9,58,11.9,"6,707",8,266,11.1
40–44,98,9.9,656,12.9,"11,088",10.1,"11,195",13.1,60,12.3,"6,887",8.2,267,11.1
45–49,91,9.2,611,12,"10,211",9.3,"10,268",12,61,12.6,"6,518",7.8,184,7.7
50–54,132,13.3,619,12.2,"11,719",10.7,"10,477",12.2,40,8.2,"9,729",11.6,243,10.1
55–59,129,13,495,9.7,"12,638",11.6,"9,710",11.3,68,14,"13,293",15.8,266,11.1
60–64,115,11.6,326,6.4,"10,019",9.2,"6,700",7.8,47,9.7,"12,720",15.1,219,9.1
≥65,112,11.3,479,9.4,"11,368",10.4,"5,793",6.8,42,8.6,"17,573",20.9,252,10.5
Subtotal,992,100,"5,090",100,"109,284",100,"85,666",100,486,100,"84,060",100,"2,395",100
Gender,,,,,,,,,,,,,,
Male,759,76.7,"4,143",81.5,"75,734",69.4,"70,047",81.9,395,81.3,"72,994",86.9,"1,879",78.5
Female,205,20.7,836,16.4,"31,210",28.6,"13,588",15.9,71,14.6,"10,280",12.2,444,18.5
Transgender male,0,0,12,0.2,204,0.2,133,0.2,1,0.2,127,0.2,5,0.2
Transgender female,23,2.3,75,1.5,"1,878",1.7,"1,560",1.8,19,3.9,571,0.7,64,2.7
Other gender identity,3,0.3,17,0.3,175,0.2,246,0.3,0,0,61,0.1,2,0.1
Subtotal,990,100,"5,083",100,"109,201",100,"85,574",100,486,100,"84,033",100,"2,394",100
Federal poverty level,,,,,,,,,,,,,,
0–100%,469,47.8,"1,758",35,"49,594",47.4,"42,294",49.9,176,36.8,"26,957",32.7,930,39.3
101–138%,105,10.7,408,8.1,"9,058",8.7,"7,476",8.8,54,11.3,"9,303",11.3,233,9.8
139–250%,224,22.8,"1,322",26.3,"24,058",23,"18,876",22.3,129,27,"24,907",30.2,599,25.3
251–400%,154,15.7,"1,140",22.7,"17,472",16.7,"12,999",15.3,94,19.7,"16,576",20.1,493,20.8
>400%,30,3.1,401,8,"4,501",4.3,"3,179",3.7,25,5.2,"4,647",5.6,111,4.7
Subtotal,982,100,"5,029",100,"104,683",100,"84,824",100,478,100,"82,390",100,"2,366",100
